"Ár";"Íbúðir í eigu lögaðila sem eiga fleiri en eina íbúð";"Íbúðir í eigu lögaðila sem eiga eina íbúð";"Íbúðir í eigu einstaklinga sem eiga fleiri en eina íbúð";"Íbúðir í eigu einstaklinga sem eiga eina íbúð"
"1994";7687;949;17721;68272
"1995";8188;956;17931;69076
"1996";8670;985;18041;70213
"1997";8781;1014;17778;71653
"1998";8912;1031;17449;73410
"1999";8947;1070;16855;75269
"2000";9153;1061;16875;76444
"2001";9538;1094;17098;77528
"2002";10053;1095;17282;78861
"2003";10924;1124;17633;80034
"2004";11343;1221;18142;81491
"2005";11617;1357;19776;82557
"2006";12503;1507;21162;83052
"2007";15152;1667;22103;84295
"2008";16744;1749;23160;84433
"2009";17141;1822;24173;83764
"2010";18057;1811;25807;82411
"2011";18385;1832;25929;82646
"2012";19034;1929;26490;82589
"2013";19776;2090;26736;82431
"2014";19910;2234;27176;82735
"2015";20017;2488;27818;82877
"2016";20085;2881;28149;83575
"2017";20645;2760;28420;84716
"2018";20719;2844;28834;86257
"2019";21305;2959;29378;88142
"2020";21609;3094;29915;90892
"2021";21439;3235;30773;93270
"2022";21690;3230;31044;93889
