"Ár";"Reykjavíkurborg";"Kópavogsbær";"Seltjarnarnesbær";"Garðabær";"Hafnarfjarðarkaupstaður";"Mosfellsbær"
"2005";48244;10454;1588;4258;8258;2410
"2006";49038;11205;1589;4403;8674;2517
"2007";49966;11546;1588;4702;9610;2728
"2008";50559;11877;1619;4913;9867;3051
"2009";50690;11905;1619;4916;9873;3067
"2010";50733;12066;1619;4926;9900;3101
"2011";50779;12088;1621;4933;9900;3104
"2012";51021;12227;1619;5020;9910;3102
"2013";51080;12547;1646;5057;10043;3098
"2014";51265;12775;1669;5189;10023;3112
"2015";52124;12980;1704;5436;10118;3186
"2016";52496;13157;1711;5499;10189;3349
"2017";53166;13847;1703;5711;10274;3823
"2018";53825;13965;1729;5886;10352;4018
"2019";55585;14269;1727;6283;10445;4173
"2020";56082;14643;1728;6510;10536;4329
"2021";57643;15011;1730;6893;10892;4415
"2022";57847;15061;1729;7053;10919;4436
