"Ársfjórðungur";"Hlutfall fyrstu kaupenda"
"2006-Á3";16,5
"2006-Á4";19,8
"2007-Á1";11,1
"2007-Á2";17,2
"2007-Á3";17,3
"2007-Á4";9,8
"2008-Á1";13,9
"2008-Á2";15,6
"2008-Á3";15,1
"2008-Á4";2,5
"2009-Á1";10,3
"2009-Á2";5,9
"2009-Á3";14,6
"2009-Á4";16,3
"2010-Á1";27,5
"2010-Á2";19,5
"2010-Á3";16
"2010-Á4";18,4
"2011-Á1";18,7
"2011-Á2";16,9
"2011-Á3";20,3
"2011-Á4";13,6
"2012-Á1";16,1
"2012-Á2";17,2
"2012-Á3";16,7
"2012-Á4";20,1
"2013-Á1";8,5
"2013-Á2";19,2
"2013-Á3";16,9
"2013-Á4";13
"2014-Á1";16,3
"2014-Á2";12,2
"2014-Á3";12,9
"2014-Á4";15,8
"2015-Á1";18,2
"2015-Á2";14,4
"2015-Á3";15,7
"2015-Á4";14,5
"2016-Á1";16,1
"2016-Á2";12,5
"2016-Á3";12,4
"2016-Á4";17,8
"2017-Á1";19,5
"2017-Á2";14,5
"2017-Á3";18,6
"2017-Á4";17,3
"2018-Á1";28,2
"2018-Á2";14,5
"2018-Á3";18,7
"2018-Á4";16,4
"2019-Á1";20,5
"2019-Á2";18,5
"2019-Á3";23
"2019-Á4";19,9
"2020-Á1";24,6
"2020-Á2";17,1
"2020-Á3";18,3
"2020-Á4";20,4
"2021-Á1";25
"2021-Á2";22,3
"2021-Á3";19,1
"2021-Á4";22,6
"2022-Á1";21,1
