"Ársfjórðungur";"Hlutfall fyrstu kaupenda"
"2006-Á3";23,8
"2006-Á4";25,2
"2007-Á1";22,7
"2007-Á2";24,1
"2007-Á3";27,1
"2007-Á4";20,6
"2008-Á1";26,4
"2008-Á2";25,8
"2008-Á3";30,4
"2008-Á4";14,4
"2009-Á1";15,4
"2009-Á2";17,5
"2009-Á3";23,9
"2009-Á4";22,2
"2010-Á1";25
"2010-Á2";27,2
"2010-Á3";29,3
"2010-Á4";31,6
"2011-Á1";35,1
"2011-Á2";26,5
"2011-Á3";22,3
"2011-Á4";30,2
"2012-Á1";30
"2012-Á2";30,3
"2012-Á3";25,6
"2012-Á4";29,7
"2013-Á1";24,9
"2013-Á2";29,7
"2013-Á3";23,1
"2013-Á4";27,3
"2014-Á1";23,2
"2014-Á2";31,1
"2014-Á3";26,5
"2014-Á4";27,2
"2015-Á1";28,7
"2015-Á2";28,1
"2015-Á3";31,3
"2015-Á4";26,6
"2016-Á1";27,2
"2016-Á2";28
"2016-Á3";27,9
"2016-Á4";25,7
"2017-Á1";27,8
"2017-Á2";29,6
"2017-Á3";30,1
"2017-Á4";30,1
"2018-Á1";26
"2018-Á2";25,8
"2018-Á3";32,9
"2018-Á4";31,1
"2019-Á1";28
"2019-Á2";32
"2019-Á3";34,1
"2019-Á4";29,7
"2020-Á1";36,4
"2020-Á2";40,7
"2020-Á3";37
"2020-Á4";31,4
"2021-Á1";36,5
"2021-Á2";36,9
"2021-Á3";33
"2021-Á4";29,3
"2022-Á1";24,6
