"Ársfjórðungur";"Hlutfall fyrstu kaupenda"
"2006-Á3";21,1
"2006-Á4";20,7
"2007-Á1";23,6
"2007-Á2";22,4
"2007-Á3";26,1
"2007-Á4";21,7
"2008-Á1";17,8
"2008-Á2";18,5
"2008-Á3";33
"2008-Á4";16,4
"2009-Á1";23,1
"2009-Á2";14
"2009-Á3";21,4
"2009-Á4";19,5
"2010-Á1";33,3
"2010-Á2";17,3
"2010-Á3";28,4
"2010-Á4";24,3
"2011-Á1";21,4
"2011-Á2";23,5
"2011-Á3";22,6
"2011-Á4";20,7
"2012-Á1";23
"2012-Á2";32,1
"2012-Á3";25,3
"2012-Á4";21,9
"2013-Á1";18,2
"2013-Á2";21,6
"2013-Á3";24,8
"2013-Á4";20,4
"2014-Á1";23,6
"2014-Á2";21,7
"2014-Á3";23,4
"2014-Á4";21,4
"2015-Á1";22,8
"2015-Á2";21,2
"2015-Á3";20,9
"2015-Á4";21,2
"2016-Á1";21,2
"2016-Á2";27
"2016-Á3";23,9
"2016-Á4";24
"2017-Á1";23
"2017-Á2";23,6
"2017-Á3";23,9
"2017-Á4";21,2
"2018-Á1";27,1
"2018-Á2";25,8
"2018-Á3";23
"2018-Á4";28,9
"2019-Á1";25,3
"2019-Á2";24,5
"2019-Á3";28,5
"2019-Á4";27
"2020-Á1";29,5
"2020-Á2";30,2
"2020-Á3";26,1
"2020-Á4";27,5
"2021-Á1";31,8
"2021-Á2";30,7
"2021-Á3";34,3
"2021-Á4";28,8
"2022-Á1";19,3
