"Ársfjórðungur";"Hlutfall fyrstu kaupenda"
"2006-Á3";11,9
"2006-Á4";23,8
"2007-Á1";21,5
"2007-Á2";14,5
"2007-Á3";19,9
"2007-Á4";12,6
"2008-Á1";19,7
"2008-Á2";4,9
"2008-Á3";23,8
"2008-Á4";8,6
"2009-Á1";13,6
"2009-Á2";17,1
"2009-Á3";12,5
"2009-Á4";4,9
"2010-Á1";15,6
"2010-Á2";22,7
"2010-Á3";23,6
"2010-Á4";21,6
"2011-Á1";15
"2011-Á2";20,6
"2011-Á3";27,1
"2011-Á4";22,7
"2012-Á1";12,1
"2012-Á2";18,5
"2012-Á3";25
"2012-Á4";16,4
"2013-Á1";22,2
"2013-Á2";27,6
"2013-Á3";20,5
"2013-Á4";22,2
"2014-Á1";16,4
"2014-Á2";16,1
"2014-Á3";14,7
"2014-Á4";17,6
"2015-Á1";28,9
"2015-Á2";21,3
"2015-Á3";14,4
"2015-Á4";20,2
"2016-Á1";20,9
"2016-Á2";15,9
"2016-Á3";17,1
"2016-Á4";19,9
"2017-Á1";20
"2017-Á2";27,9
"2017-Á3";27,1
"2017-Á4";21,2
"2018-Á1";25
"2018-Á2";21,8
"2018-Á3";28,2
"2018-Á4";18,1
"2019-Á1";21,6
"2019-Á2";17,6
"2019-Á3";18,7
"2019-Á4";24,8
"2020-Á1";21,3
"2020-Á2";24,4
"2020-Á3";26,2
"2020-Á4";27,4
"2021-Á1";28,9
"2021-Á2";18,3
"2021-Á3";28,2
"2021-Á4";21
"2022-Á1";21,4
