"Ársfjórðungur";"Hlutfall fyrstu kaupenda"
"2006-Á3";26,4
"2006-Á4";29,4
"2007-Á1";27,1
"2007-Á2";29,7
"2007-Á3";29
"2007-Á4";25,5
"2008-Á1";29,1
"2008-Á2";28,6
"2008-Á3";38,4
"2008-Á4";24,2
"2009-Á1";19,7
"2009-Á2";21,3
"2009-Á3";24,4
"2009-Á4";26,7
"2010-Á1";28,4
"2010-Á2";28,5
"2010-Á3";26,7
"2010-Á4";33,3
"2011-Á1";29,3
"2011-Á2";33
"2011-Á3";31,7
"2011-Á4";29
"2012-Á1";30,7
"2012-Á2";31,2
"2012-Á3";31,5
"2012-Á4";28,6
"2013-Á1";31,7
"2013-Á2";26,4
"2013-Á3";30,6
"2013-Á4";29,2
"2014-Á1";25,8
"2014-Á2";29,6
"2014-Á3";28
"2014-Á4";29,4
"2015-Á1";27,9
"2015-Á2";27
"2015-Á3";28,9
"2015-Á4";28,1
"2016-Á1";31
"2016-Á2";29,8
"2016-Á3";29,2
"2016-Á4";28,4
"2017-Á1";34,3
"2017-Á2";31
"2017-Á3";29,3
"2017-Á4";30,7
"2018-Á1";32
"2018-Á2";31,2
"2018-Á3";33,3
"2018-Á4";31,6
"2019-Á1";32,1
"2019-Á2";32,9
"2019-Á3";33,2
"2019-Á4";32,6
"2020-Á1";35,1
"2020-Á2";34,8
"2020-Á3";34,5
"2020-Á4";34,9
"2021-Á1";35,9
"2021-Á2";35
"2021-Á3";37,4
"2021-Á4";32,6
"2022-Á1";36,5
