"Ársfjórðungur";"Hlutfall fyrstu kaupenda"
"2006-Á3";16,2
"2006-Á4";11,8
"2007-Á1";9,5
"2007-Á2";12,5
"2007-Á3";13,9
"2007-Á4";12
"2008-Á1";27,8
"2008-Á2";37,5
"2008-Á3";33,3
"2008-Á4";12,5
"2009-Á1";50
"2009-Á2";14,3
"2009-Á3";12,5
"2009-Á4";30,8
"2010-Á1";
"2010-Á2";33,3
"2010-Á3";12,5
"2010-Á4";36,8
"2011-Á1";36,8
"2011-Á2";30,8
"2011-Á3";27,1
"2011-Á4";15,9
"2012-Á1";22,7
"2012-Á2";22,9
"2012-Á3";11,8
"2012-Á4";15,4
"2013-Á1";27
"2013-Á2";16,4
"2013-Á3";13,5
"2013-Á4";29,7
"2014-Á1";10,5
"2014-Á2";12,2
"2014-Á3";3,6
"2014-Á4";17,3
"2015-Á1";26,4
"2015-Á2";17,3
"2015-Á3";17,1
"2015-Á4";14,3
"2016-Á1";8,9
"2016-Á2";21,4
"2016-Á3";21,4
"2016-Á4";30,2
"2017-Á1";25
"2017-Á2";21,3
"2017-Á3";3,6
"2017-Á4";22,6
"2018-Á1";24,3
"2018-Á2";20,6
"2018-Á3";19,7
"2018-Á4";7,8
"2019-Á1";16,1
"2019-Á2";30,8
"2019-Á3";11,4
"2019-Á4";34,8
"2020-Á1";16
"2020-Á2";42,9
"2020-Á3";33,3
"2020-Á4";30,9
"2021-Á1";15,8
"2021-Á2";30,5
"2021-Á3";18,4
"2021-Á4";21,1
"2022-Á1";16,7
